;K23_kasutuskolbmatud_tekstiilid;K23_kasutuskolbmatud_tekstiilid_1;K23_kasutuskolbmatud_tekstiilid_2;K23_kasutuskolbmatud_tekstiilid_3;K23_kasutuskolbmatud_tekstiilid_4;K23_kasutuskolbmatud_tekstiilid_5;K23_kasutuskolbmatud_tekstiilid_6;K23_kasutuskolbmatud_tekstiilid_7;K23_kasutuskolbmatud_tekstiilid_muu_tekst
48;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
49;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
50;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
51;Rõivakonteineritesse;1;0;0;0;0;0;0;
52;Rõivakonteineritesse;1;0;0;0;0;0;0;
53;HM;0;0;0;0;0;0;1;HM
54;Rõivakonteineritesse;1;0;0;0;0;0;0;
55;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
56;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
57;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
58;Rõivakonteineritesse;1;0;0;0;0;0;0;
59;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
60;Rõivakonteineritesse;1;0;0;0;0;0;0;
61;Rõivakonteineritesse, Kasutan kodus kaltsudena ning peale täielikku kasutust põletan/ panen olmesse.;1;0;0;0;0;0;1;Kasutan kodus kaltsudena ning peale täielikku kasutust põletan/ panen olmesse.
62;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
63;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
64;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
65;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
66;Rõivakonteineritesse, Viin poodi tagasi ja saan sooduskupongi.;1;0;0;0;0;0;1;Viin poodi tagasi ja saan sooduskupongi.
67;Rõivakonteineritesse;1;0;0;0;0;0;0;
68;HM kauplustes kogumiskastidesse;0;0;0;0;0;0;1;HM kauplustes kogumiskastidesse
69;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse, Loomade varjupaika;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,Loomade varjupaika
70;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
71;Rõivakonteineritesse;1;0;0;0;0;0;0;
72;Panen olmejäätme prügikonteinerisse, Muudan kodus tolmulappideks voi kaltsuvaipadeks;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,dan kodus tolmulappideks voi kaltsuvaipadeks
73;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
74;Rõivakonteineritesse;1;0;0;0;0;0;0;
75;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
76;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
77;Panen olmejäätme prügikonteinerisse, Põletan kodus, Ukraina ;0;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse,Ukraina
78;Panen olmejäätme prügikonteinerisse, kasutan kaltsuna vms ja lõpuks jõuab olmeprügisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,kasutan kaltsuna vms ja lõpuks jõuab olmeprügisse
79;Rõivakonteineritesse;1;0;0;0;0;0;0;
80;Rõivakonteineritesse, Põletan kodus;1;0;0;1;0;0;0;
81;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse, Kodutekstiil- loomadehojupaika;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,Kodutekstiil- loomadehojupaika
82;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
83;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
84;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
85;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
86;Rõivakonteineritesse, Suurte perede keskus;1;0;0;0;0;0;1;Suurte perede keskus
87;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
88;H&M tekstiili kogumiskasti;0;0;0;0;0;0;1;H&M tekstiili kogumiskasti
89;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
90;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
91;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
92;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
93;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
94;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
95;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
96;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
97;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
98;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
99;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
100;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
101;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
102;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
103;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
104;Rõivakonteineritesse;1;0;0;0;0;0;0;
105;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
106;Rõivakonteineritesse;1;0;0;0;0;0;0;
107;Rõivakonteineritesse;1;0;0;0;0;0;0;
108;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
109;Rõivakonteineritesse;1;0;0;0;0;0;0;
110;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
111;Panen segaolmejäätme prügikonteinerisse, Põletan kodus;0;1;0;1;0;0;0;
112;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
113;H&M kogumiskast;0;0;0;0;0;0;1;H&M kogumiskast
114;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
115;Rõivakonteineritesse;1;0;0;0;0;0;0;
